d,score
4,3
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,3
4,2
4,3
4,3
4,3
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,3
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,3
4,3
4,3
4,3
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,2
4,2
4,3
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,3
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,3
4,2
4,3
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,3
4,3
4,3
4,3
4,3
4,3
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,3
4,3
4,3
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,3
4,2
4,2
4,3
4,3
4,2
4,2
4,3
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,3
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,3
4,3
4,3
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,3
4,3
4,2
4,3
4,2
4,2
4,2
4,2
4,3
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,3
4,3
4,3
4,3
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,2
4,3
4,2
